item_id,critical,topic,question,response,major_issue,author_disposition
R01,yes,reference_frame,"Are direct, elastic/potential, height and total-observable reference frames stated consistently?",,,
R02,yes,sign_convention,"Are all sign conversions physically justified and applied only at declared boundaries?",,,
R03,yes,loading_theory,"Is the interpretation of the LoadDef CE gravity term and the prevention of Newtonian double counting correct?",,,
R04,yes,helgoland,"Is the -2.266 versus -2.684 comparison scientifically like-for-like under the stated caveat?",,,
R05,yes,helgoland,"Is the direct-plus-elastic value clearly restricted to a diagnostic and not used post hoc as acceptance evidence?",,,
R06,yes,detiding,"Are the limitations of the 30-day fit relative to the published three-year analysis stated adequately?",,,
R07,yes,spectral_method,"Is cumulative spectral-energy coverage defined and implemented appropriately for the represented signals?",,,
R08,yes,thresholds,"Does the 50/75/90/95 percent analysis support the stated threshold-robust conclusions without implying detection probability?",,,
R09,yes,instruments,"Are sensitivity, stability, self-noise, site noise and operational frequency response kept distinct?",,,
R10,yes,process_models,"Are the six process families described as representative scenarios with defensible compensation and conservation assumptions?",,,
R11,no,figures,"Do the five main figures communicate one coherent result and label observables and units unambiguously?",,,
R12,yes,claims,"Are all detectability, generality and novelty claims supported and appropriately bounded?",,,
R13,yes,literature,"Is the related-work coverage adequate and are important gravimetry or ocean-loading studies missing?",,,
R14,no,reproducibility,"Are the registered experiments and one-command build sufficient to audit reported numbers?",,,
R15,yes,recommendation,"Is the manuscript scientifically ready for journal submission after listed corrections?",,,
